countriesAndTerritories;year;death_females;death_males;total_deaths
Albania;2021;9368;11718;21086
Andorra;2021;0;0;0
Armenia;2021;10115;11455;21570
Austria;2021;45126;44749;89875
Belgium;2021;55514;56751;112265
Bulgaria;2021;71563;77072;148635
Croatia;2021;31516;31126;62642
Cyprus;2021;3254;3689;6943
Czechia;2021;66038;73116;139154
Denmark;2021;27925;29109;57034
Estonia;2021;9840;8881;18721
Finland;2021;28455;29125;57580
France;2021;326696;332354;659050
Georgia;2021;0;0;0
Germany;2021;504402;512179;1016581
Greece;2021;70343;73243;143586
Hungary;2021;78209;76825;155034
Iceland;2021;1158;1175;2333
Ireland;2021;16334;17925;34259
Italy;2021;362032;344134;706166
Latvia;2021;18351;16120;34471
Liechtenstein;2021;132;133;265
Lithuania;2021;24733;22730;47463
Luxembourg;2021;2187;2280;4467
Malta;2021;2047;2020;4067
Montenegro;2021;3468;3983;7451
Netherlands;2021;84804;85247;170051
Norway;2021;21341;20540;41881
Poland;2021;250692;268008;518700
Portugal;2021;61810;62365;124175
Romania;2021;159665;173363;333028
Serbia;2021;60856;63409;124265
Slovakia;2021;35343;37620;72963
Slovenia;2021;11303;11703;23006
Spain;2021;218171;229706;447877
Sweden;2021;44344;44221;88565
Switzerland;2021;35778;34781;70559
United Kingdom;2021;0;0;0
Albania;2022;0;0;0
Andorra;2022;0;0;0
Armenia;2022;2714;3027;5741
Austria;2022;15647;15530;31177
Belgium;2022;22475;22438;44913
Bulgaria;2022;22513;24619;47132
Croatia;2022;10833;10398;21231
Cyprus;2022;1281;1376;2657
Czechia;2022;19168;19840;39008
Denmark;2022;11040;11591;22631
Estonia;2022;4227;3712;7939
Finland;2022;11115;11048;22163
France;2022;134211;133653;267864
Georgia;2022;0;0;0
Germany;2022;191316;191989;383305
Greece;2022;25813;26147;51960
Hungary;2022;26121;24669;50790
Iceland;2022;384;373;757
Ireland;2022;5964;6458;12422
Italy;2022;93415;86646;180061
Latvia;2022;6910;6145;13055
Liechtenstein;2022;56;62;118
Lithuania;2022;9983;8937;18920
Luxembourg;2022;781;784;1565
Malta;2022;651;661;1312
Montenegro;2022;0;0;0
Netherlands;2022;34994;34216;69210
Norway;2022;9415;9232;18647
Poland;2022;87494;90372;177866
Portugal;2022;23772;23616;47388
Romania;2022;46449;51384;97833
Serbia;2022;18724;19547;38271
Slovakia;2022;9820;10154;19974
Slovenia;2022;4637;4491;9128
Spain;2022;94698;98124;192826
Sweden;2022;18929;18714;37643
Switzerland;2022;13523;13362;26885
United Kingdom;2022;0;0;0
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
